調教師CD,調教師名,全出走数,全勝率,全複勝率,穴馬出走数(7人気↓),穴馬勝率,穴馬連対率,穴馬複勝率,穴馬期待複勝率,穴馬複勝超過率,穴馬人気以上率,穴馬単勝回収率,大穴出走数(10人気↓),大穴複勝率,戦略スコア
01171,小手川準,1441,0.03261623872310895,0.14989590562109645,1021,0.010773751224289911,0.03232125367286973,0.07149853085210578,0.07640010526934249,0.9358433551896742,0.7433888344760039,0.4810969637610186,658,0.044072948328267476,1.4038589414919977
01027,田村康仁,1792,0.07700892857142858,0.23046875,914,0.02516411378555799,0.05470459518599562,0.08424507658643327,0.0837703859697088,1.0056665683371222,0.700218818380744,0.9885120350109409,511,0.05283757338551859,1.3983148597364734
00436,堀井雅広,660,0.04393939393939394,0.18333333333333332,425,0.011764705882352941,0.04,0.08705882352941176,0.07832835547057318,1.1114598666905307,0.7129411764705882,0.41341176470588237,259,0.05791505791505792,1.3970847244722362
01169,加藤士津,1508,0.07161803713527852,0.23275862068965517,807,0.01858736059479554,0.06319702602230483,0.10161090458488228,0.08747979482287915,1.1615356985074607,0.6146220570012392,1.5532837670384139,430,0.07674418604651163,1.3917595271273195
01149,松下武士,1633,0.07654623392529088,0.21249234537660747,915,0.018579234972677595,0.04480874316939891,0.08633879781420765,0.08415737768085374,1.0259207236901609,0.6808743169398908,0.6387978142076502,527,0.04743833017077799,1.3872907784174318
01111,鈴木孝志,1517,0.08042188529993408,0.23862887277521425,768,0.0234375,0.048177083333333336,0.09635416666666667,0.08906062168799356,1.0818941619813145,0.6614583333333334,0.7243489583333333,416,0.052884615384615384,1.3848078848170906
01150,池上昌和,1297,0.07632999228989977,0.2382420971472629,743,0.018842530282637954,0.05114401076716016,0.0901749663526245,0.08048584393791157,1.1203829386716415,0.6406460296096904,0.5664872139973082,450,0.06,1.382042801586217
01110,清水久詞,2688,0.08519345238095238,0.2604166666666667,1254,0.019138755980861243,0.05422647527910686,0.09649122807017543,0.09266179053043855,1.0413270401728203,0.638755980861244,0.5253588516746411,621,0.0499194847020934,1.382008730555364
01115,菊沢隆徳,1424,0.08918539325842696,0.2612359550561798,661,0.019667170953101363,0.0529500756429652,0.09984871406959153,0.09247150293257826,1.0797782116982793,0.6747352496217852,1.1360060514372163,331,0.0755287009063444,1.378053879805481
01123,牧田和弥,1595,0.05579937304075235,0.17366771159874608,993,0.011077542799597181,0.03726082578046324,0.07452165156092648,0.0774189535707427,0.9625763217379479,0.7119838872104733,0.37885196374622354,621,0.043478260869565216,1.377415881132941
01085,小崎憲,1436,0.052924791086350974,0.17061281337047354,919,0.014145810663764961,0.03917301414581066,0.07290533188248095,0.07611713171842306,0.9578045078232403,0.7236126224156693,0.44189336235038085,597,0.03685092127303183,1.3773589542042044
01118,高柳瑞樹,1263,0.0768012668250198,0.24069675376088678,625,0.0304,0.0592,0.0976,0.08678192370297311,1.124658175751597,0.6512,0.97232,335,0.056716417910447764,1.3733407924151415
01075,矢作芳人,2894,0.10608154803040774,0.27816171389080857,1201,0.026644462947543714,0.05245628642797669,0.09658617818484597,0.09085329961975279,1.0631003891888013,0.6253122398001665,0.8716902581182348,630,0.05873015873015873,1.37285752530284
01167,稲垣幸雄,1117,0.07699194270367055,0.22470904207699194,663,0.01809954751131222,0.05128205128205128,0.08446455505279035,0.07570500328791163,1.115706378501372,0.6485671191553545,0.8312217194570136,427,0.0585480093676815,1.3693193164674466
01055,藤原英昭,1651,0.13022410660205935,0.32222895215021197,524,0.026717557251908396,0.06297709923664122,0.11450381679389313,0.09394341830463773,1.2188593821717513,0.6145038167938931,1.3440839694656488,261,0.09961685823754789,1.3661221856655112
