banusicode,banusiname,N,wins,place_2nd3rd,drops,promo_risk_count,win_rate,rate_2nd3rd,drop_rate,p_value_win,p_bh_win,p_value_2nd3rd,p_bh_2nd3rd
195031,三木　正浩,79,21,20,38,78,0.26582278481012656,0.25316455696202533,0.4810126582278481,0.898508701436716,0.9998664685304478,0.8324271466340372,0.9972659797981572
196031,長谷川　祐司,74,20,23,31,67,0.2702702702702703,0.3108108108108108,0.4189189189189189,0.9082577580535829,0.9998664685304478,0.4360706362957898,0.9972659797981572
208008,窪田　芳郎,206,49,59,98,192,0.23786407766990292,0.28640776699029125,0.47572815533980584,0.8321822629592126,0.9998664685304478,0.6485814967191118,0.9972659797981572
224007,田中　成奉,253,50,75,128,230,0.1976284584980237,0.2964426877470356,0.5059288537549407,0.3068921510629108,0.9998664685304478,0.5231830503725279,0.9972659797981572
226800,サンデーレーシング,2034,450,606,978,1837,0.22123893805309736,0.29793510324483774,0.4808259587020649,0.8287066601904991,0.9998664685304478,0.448223125504036,0.9972659797981572
231033,吉田　晴哉,92,21,22,49,92,0.22826086956521738,0.2391304347826087,0.532608695652174,0.6936204264186088,0.9998664685304478,0.9083356815211527,0.9972659797981572
232031,藤田　晋,113,22,28,63,103,0.19469026548672566,0.24778761061946902,0.5575221238938053,0.3678085075309936,0.9998664685304478,0.8931064509796373,0.9972659797981572
242031,前田　幸大,59,12,20,27,59,0.2033898305084746,0.3389830508474576,0.4576271186440678,0.5047254922963957,0.9998664685304478,0.27887744727408176,0.9972659797981572
245030,前田　葉子,80,19,26,35,71,0.2375,0.325,0.4375,0.7544988816292887,0.9998664685304478,0.3260791205693698,0.9972659797981572
248005,山元　哲二,64,13,27,24,59,0.203125,0.421875,0.375,0.49668800095016663,0.9998664685304478,0.022011849895004855,0.6407542300021789
248030,石川　達絵,186,49,56,81,170,0.26344086021505375,0.3010752688172043,0.43548387096774194,0.9592556584377999,0.9998664685304478,0.4720668949387539,0.9972659797981572
252030,落合　幸弘,62,12,18,32,59,0.1935483870967742,0.2903225806451613,0.5161290322580645,0.42561660417497377,0.9998664685304478,0.5892407304820553,0.9972659797981572
265006,星野　壽市,57,11,18,28,57,0.19298245614035087,0.3157894736842105,0.49122807017543857,0.43070206471587735,0.9998664685304478,0.42292888957076236,0.9972659797981572
265008,吉岡　實,129,27,40,62,118,0.20930232558139536,0.31007751937984496,0.4806201550387597,0.5115991917466977,0.9998664685304478,0.39903467082229027,0.9972659797981572
270006,島川　隆哉,234,55,72,107,182,0.23504273504273504,0.3076923076923077,0.45726495726495725,0.8188774783333288,0.9998664685304478,0.37628743378638846,0.9972659797981572
271008,安原　浩司,155,27,43,85,141,0.17419354838709677,0.27741935483870966,0.5483870967741935,0.13956526067935837,0.9177326475544092,0.724976039630076,0.9972659797981572
272008,下河辺　隆行,71,19,20,32,69,0.2676056338028169,0.28169014084507044,0.4507042253521127,0.8957864712441097,0.9998664685304478,0.6502528054568457,0.9972659797981572
